id	hunter	status	typesample	serial	year	manufacturer	model	twdb_url	image	images
5497	ORTBRAKER	My Collection	NONE	337557	1920	Corona	3	http://typewriterdatabase.com/1920-corona-3.5497.typewriter	http://typewriterdatabase.com/img/thumbs/gcorona _5497_1448639593.jpg	4
5498	ORTBRAKER	My Collection	NONE	772435	1954	Olivetti	Studio 44	http://typewriterdatabase.com/1954-olivetti-studio-44.5498.typewriter	http://typewriterdatabase.com/img/thumbs/golivetti _5498_1448639993.jpg	3
5499	professorc30	Sightings	NONE	6126 11 0054204	1983	IBM	Personal Typewriter	http://typewriterdatabase.com/1983-ibm-personal-typewriter.5499.typewriter	http://typewriterdatabase.com/img/thumbs/gibm _5499_1448659710.jpg	3
5500	ORTBRAKER	My Collection	NONE	271425	1948	Briton	55	http://typewriterdatabase.com/1948-briton-55.5500.typewriter	http://typewriterdatabase.com/img/thumbs/gbriton _5500_1448663720.jpg	7
5501	ORTBRAKER	My Collection	NONE	201692	1962	Voss	ST 32	http://typewriterdatabase.com/1962-voss-st-32.5501.typewriter	http://typewriterdatabase.com/img/thumbs/gtriumph _5501_1448664121.jpg	4
5502	ORTBRAKER	My Collection	NONE	3064698	1962	Triumph	Perfekt	http://typewriterdatabase.com/1962-triumph-perfekt.5502.typewriter	http://typewriterdatabase.com/img/thumbs/gtriumph _5502_1448665022.jpg	6
5503	bsbrum	My Collection	NONE	6126 11 0005496	1982	IBM	Personal Typewriter	http://typewriterdatabase.com/1982-ibm-personal-typewriter.5503.typewriter	http://typewriterdatabase.com/img/thumbs/gibm _5503_1448682776.jpg	4
5504	bsbrum	My Collection	http://typewriterdatabase.com/img/t _5504_1448683106.jpg	FTR109791	195X	Remington	Travel-Riter	http://typewriterdatabase.com/195x-remington-travelriter.5504.typewriter	http://typewriterdatabase.com/img/thumbs/gremington _5504_1448683068.jpg	4
5505	bsbrum	My Collection	NONE	8125641	1964	Hermes	8	http://typewriterdatabase.com/1964-hermes-8.5505.typewriter	http://typewriterdatabase.com/img/thumbs/ghermes _5505_1448690604.jpg	1
5506	bsbrum	My Collection	NONE	NS79098	1927	Remington	Portable 2	http://typewriterdatabase.com/1927-remington-portable-2.5506.typewriter	http://typewriterdatabase.com/img/thumbs/gremington _5506_1448690884.jpg	1
5507	bsbrum	My Collection	http://typewriterdatabase.com/img/t _5507_1448735495.jpg	11088	1916	Rex Visible	4	http://typewriterdatabase.com/1916-rex-visible-4.5507.typewriter	http://typewriterdatabase.com/img/thumbs/grex-visible _5507_1448735448.jpg	3
5509	Luto77	Sightings	http://typewriterdatabase.com/img/tolympia _5509_1448825881.jpg	315604	1939	Olympia	8	http://typewriterdatabase.com/1939-olympia-8.5509.typewriter	http://typewriterdatabase.com/img/thumbs/golympia _5509_1448825880.jpg	34
5510	Luto77	Sightings	http://typewriterdatabase.com/img/t _5510_1448827868.jpg	4594882	1970	Erika	42	http://typewriterdatabase.com/1970-erika-42.5510.typewriter	http://typewriterdatabase.com/img/thumbs/gerika _5510_1448827715.jpg	9
5511	ORTBRAKER	My Collection	NONE	6927	192X	Sabb	Sabb	http://typewriterdatabase.com/192x-sabb-sabb.5511.typewriter	http://typewriterdatabase.com/img/thumbs/gsabb _5511_1448835796.jpg	5
5512	ORTBRAKER	My Collection	NONE	4-727664	1948	Adler	Favorit 2	http://typewriterdatabase.com/1948-adler-favorit-2.5512.typewriter	http://typewriterdatabase.com/img/thumbs/gadler _5512_1448836350.jpg	6
